NbElts,L_tot,rho,r_ext,r_int,S,I,L,E,Mat
10,0.541433057437963,8900,0.04847457232473997,0.03293379363212835,0.0039745840577893226,3.412596676838355e-06,0.0541433057437963,124000000000.0,Cuivre
10,0.2930881795479304,7850,0.0041295467022496755,0.0003891959829285812,5.3098201427443165e-05,2.283837203926249e-10,0.029308817954793044,210000000000.0,Acier de construction
10,0.9068721892136444,2500,0.06575065645178574,0.053003544729630814,0.004755658355709169,8.479962526365562e-06,0.09068721892136444,69000000000.0,Verre
10,0.6966959550031958,7850,0.017599794237476575,0.013093127867024799,0.0004345537661980922,5.22749445541424e-08,0.06966959550031958,210000000000.0,Acier de construction
10,0.9603027537623114,4510,0.05173253555735409,0.013750131838931454,0.00781373503482332,5.59721547569034e-06,0.09603027537623114,114000000000.0,Titane
10,0.7710544689823513,2400,0.07334795074199449,0.0616140571601207,0.004975119866069909,1.1413191039414452e-05,0.07710544689823513,30000000000.0,Beton
10,0.3324102746557852,7850,0.02377191666866783,0.01619306091226097,0.0009515532301720805,1.968095747077991e-07,0.03324102746557852,210000000000.0,Acier de construction
10,0.8957076914479587,8900,0.030704285065580844,0.004388042208405034,0.0029012551826068105,6.977576999016569e-07,0.08957076914479586,124000000000.0,Cuivre
10,0.4264580531690373,7850,0.005054141408743225,0.003943993113292191,3.138219746058707e-05,3.2244758385705415e-10,0.04264580531690373,210000000000.0,Acier de construction
10,0.6688720962634491,2500,0.06607613895716644,0.012820233893592898,0.013200022760129727,1.4950393748897188e-05,0.06688720962634491,69000000000.0,Verre
10,0.8993205522131862,2700,0.06042015254309021,0.024277451281543152,0.009617044036247954,1.0194041371310875e-05,0.08993205522131861,69000000000.0,Aluminium
10,0.48779166590049083,7800,0.007617374676234953,0.00020391049904628,0.00018215839338727054,2.6443012451381546e-09,0.048779166590049085,203000000000.0,Acier inoxydable
10,0.5976442862147509,7850,0.022995912996417508,0.018440685353966355,0.0005929854723576801,1.288069539090278e-07,0.05976442862147509,210000000000.0,Acier de construction
10,0.6550377647993696,2700,0.012852299890757618,0.010324212713919893,0.00018407296431211757,1.2506422505298797e-08,0.06550377647993696,69000000000.0,Aluminium
10,0.4808015944707361,2500,0.044270333210790005,0.009344581283347206,0.005882761687621907,3.0107733152778483e-06,0.04808015944707361,69000000000.0,Verre
10,0.6463311935551468,7800,0.015659155283320497,0.002444812055620948,0.0007515696137119134,4.7195988253339565e-08,0.06463311935551468,203000000000.0,Acier inoxydable
10,0.4563854853974749,7850,0.03204502173188483,0.023112527687484265,0.0015478453641485854,6.040746515218157e-07,0.04563854853974749,210000000000.0,Acier de construction
10,0.3860134058811774,4510,0.009678651063957013,0.007938333381189147,9.631855898195969e-05,3.773121183280374e-09,0.03860134058811774,114000000000.0,Titane
10,0.41257831024393354,2500,0.031569950958145965,0.028133690635208968,0.0006445205243284205,2.881274787358422e-07,0.04125783102439336,69000000000.0,Verre
10,0.8075274889805093,2500,0.04956417868737801,0.010497062843438919,0.007371494202540786,4.730280711290673e-06,0.08075274889805092,69000000000.0,Verre
10,0.8944360172448059,7800,0.02251431938168076,0.006793574098452407,0.001447463456799869,2.0012891247089002e-07,0.0894436017244806,203000000000.0,Acier inoxydable
10,0.7225092003858606,7800,0.055423076665220034,0.013668763725082252,0.009063125119529008,7.383167319292895e-06,0.07225092003858606,203000000000.0,Acier inoxydable
10,0.4264887560182381,7850,0.014627156753641738,0.004653644389373913,0.0006041198119804052,3.558418546934621e-08,0.04264887560182381,210000000000.0,Acier de construction
10,0.553911820400502,7800,0.020046844396037607,0.008841413758387923,0.001016950421719001,1.2204588981240036e-07,0.0553911820400502,203000000000.0,Acier inoxydable
10,0.962111446514117,2500,0.04747796622192596,0.003216251462147928,0.007049146446576297,3.990700763679417e-06,0.0962111446514117,69000000000.0,Verre
10,0.8867851240286087,2700,0.05192439299984024,0.02297043693836255,0.0068125487438064816,5.490545663120284e-06,0.08867851240286087,69000000000.0,Aluminium
10,0.3381781765787583,2500,0.019268186200463017,0.001907834659871002,0.0011549222387458127,1.082459046687887e-07,0.03381781765787583,69000000000.0,Verre
10,0.2065869732717459,2400,0.017139027149907747,0.00748968707168209,0.0007466021305927473,6.52981329424995e-08,0.02065869732717459,30000000000.0,Beton
10,0.41801647141391785,2500,0.03826890841508592,0.006404276710635778,0.004472040149811505,1.6831910682492465e-06,0.041801647141391785,69000000000.0,Verre
10,0.511149338382385,2500,0.027394239658203437,0.014202737069520145,0.0017238755376524247,4.1035224091226173e-07,0.051114933838238494,69000000000.0,Verre
10,0.8102285052482678,7800,0.056984316637080375,0.04860632084680304,0.0027791719790377146,3.897640549096249e-06,0.08102285052482679,203000000000.0,Acier inoxydable
10,0.8481370256051156,2400,0.0369936977678023,0.020460170787398355,0.0029842462553535494,1.3333256122891217e-06,0.08481370256051156,30000000000.0,Beton
10,0.3347840496276822,8900,0.005119775346049403,0.002605913393633611,6.101386046075384e-05,5.034083429846344e-10,0.03347840496276822,124000000000.0,Cuivre
10,0.1436700669244709,2400,0.010025318038887059,0.0007316938781961344,0.0003140701253360425,7.933598058082483e-09,0.01436700669244709,30000000000.0,Beton
10,0.5227595309880844,7850,0.0247217532582371,0.007075926290769279,0.001762736175164796,2.9139519238183753e-07,0.052275953098808434,210000000000.0,Acier de construction
