NbElts,L_tot,rho,h_ext,b_ext,h_int,b_int,S,I,L,E,Mat
10,0.9992521861334949,2400,0.06064520842259656,0.06720735613206821,0.030672880880083728,0.025253052587153976,0.0033012202462966854,1.18845103234578e-06,0.09992521861334949,30000000000.0,Beton
10,0.524255208195857,2400,0.014452960788838416,0.04207422294871362,0.004992400779356337,0.023682245773578813,0.0004898658322416802,1.0339785674676631e-08,0.0524255208195857,30000000000.0,Beton
10,0.8500159913190176,2500,0.04199340991274327,0.05944011288611901,0.016504669785545063,0.011620149523246047,0.002304306294946694,3.624569128034933e-07,0.08500159913190176,69000000000.0,Verre
10,0.9043732023125227,2400,0.08521388061769035,0.034683481131965455,0.02751910769257394,0.0013956891833662485,0.0029171058996428035,1.7860082580786091e-06,0.09043732023125227,30000000000.0,Beton
10,0.3227528036051308,2700,0.028900044388097405,0.008452582175907143,0.014934725571327929,0.002642299065399244,0.0002048179886586434,1.6268656724866647e-08,0.03227528036051308,69000000000.0,Aluminium
10,0.6462886405437739,7850,0.036920564652406784,0.010414543035542652,0.02872903523922228,0.006493988134694268,0.0001979447955043023,3.0846152870422934e-08,0.06462886405437739,210000000000.0,Acier de construction
10,0.8982452504487436,2500,0.06539201695520504,0.04301778605940505,0.023420257801593077,0.02320901998221117,0.0022694585640662874,9.775542232965463e-07,0.08982452504487436,69000000000.0,Verre
10,0.6120696450077578,2700,0.03953579350620278,0.05018013335954905,0.010257761408900409,0.015843473284901217,0.0018213928217720445,2.5699247452493565e-07,0.061206964500775785,69000000000.0,Aluminium
10,0.5545276440480872,2700,0.04369082902489005,0.009569959044085192,0.030902393639009776,0.0015629365161030175,0.0003698209649169283,6.266836666591804e-08,0.055452764404808716,69000000000.0,Aluminium
10,0.5343848215654827,2700,0.03342953764448618,0.04783173502396464,0.019705508209975648,0.03372110145926729,0.0009345013449297009,1.2740850584845268e-07,0.05343848215654827,69000000000.0,Aluminium
10,0.6945776425880394,7850,0.026450935597302598,0.06437300060807685,0.0017790866931067235,0.028989488142898073,0.0016511512806943567,9.926270536407045e-08,0.06945776425880394,210000000000.0,Acier de construction
10,0.8166635230908695,2400,0.050302773232369,0.033468514380853326,0.03993743060390947,0.005676366095492353,0.0014568596123032353,3.248700354880478e-07,0.08166635230908695,30000000000.0,Beton
10,0.13755583630208273,2500,0.013736082709096398,0.002339717071804493,0.00196858050933141,0.0016528742431561102,2.8884731194738332e-05,5.042742102380846e-10,0.013755583630208273,69000000000.0,Verre
