NbElts,L_tot,rho,r,S,I,L,E,Mat
10,0.7493083573959886,7800,0.06999710550438092,0.015392530963246392,1.88542910857465e-05,0.07493083573959886,203000000000.0,Acier inoxydable
10,0.14414871729587547,2500,0.009126945057507042,0.00026169820573733146,5.449938807938869e-09,0.014414871729587548,69000000000.0,Verre
10,0.272501931012854,2400,0.023836426962110305,0.0017849751923569139,2.5354468168310345e-07,0.027250193101285403,30000000000.0,Beton
10,0.3504539001117528,8900,0.026515922007906537,0.0022088353219523282,3.882547816892515e-07,0.03504539001117528,124000000000.0,Cuivre
10,0.5486410071287438,8900,0.0472365820100414,0.007009818974654866,3.910242946462484e-06,0.05486410071287438,124000000000.0,Cuivre
10,0.4022944763329692,7800,0.007453868490375017,0.00017454737626253103,2.424469840585491e-09,0.04022944763329692,203000000000.0,Acier inoxydable
10,0.2476492503885008,7800,0.008896632096288151,0.0002486572553734747,4.920309335713673e-09,0.02476492503885008,203000000000.0,Acier inoxydable
10,0.2972239483989968,8900,0.013744442314320376,0.0005934773085326192,2.8028404266595247e-08,0.02972239483989968,124000000000.0,Cuivre
10,0.12651915873030667,2700,0.001288499026981386,5.2157655624097364e-06,2.1648422791966685e-12,0.012651915873030667,69000000000.0,Aluminium
10,0.627980761545468,8900,0.007934271748314889,0.00019777163986593624,3.112563104781244e-09,0.0627980761545468,124000000000.0,Cuivre
10,0.8187726710900836,8900,0.010998844940552293,0.0003800528832977013,1.1494185436314377e-08,0.08187726710900836,124000000000.0,Cuivre
10,0.6744037163352365,2700,0.054634023412830766,0.009377266129115092,6.9974953592225665e-06,0.06744037163352365,69000000000.0,Aluminium
10,0.9376979592740857,2500,0.0668232062644677,0.014028282152962498,1.5660265497681378e-05,0.09376979592740857,69000000000.0,Verre
10,0.13660157916148385,4510,0.013575645578526457,0.0005789897231383885,2.667668412682439e-08,0.013660157916148385,114000000000.0,Titane
10,0.13836642929990167,2500,0.009200806933768443,0.0002659510492979227,5.628511428896209e-09,0.013836642929990168,69000000000.0,Verre
10,0.4018532294019457,2500,0.010365474118936334,0.00033754230821565447,9.06664408778159e-09,0.04018532294019457,69000000000.0,Verre
10,0.3688840412236991,8900,0.023046844395679143,0.0016686790440808344,2.2158265402205983e-07,0.03688840412236991,124000000000.0,Cuivre
10,0.628517475050617,2700,0.008637771500437158,0.00023439767262108937,4.372166842461473e-09,0.0628517475050617,69000000000.0,Aluminium
10,0.4724460741854454,7800,0.007971907029637813,0.0001996523025128241,3.172040927483417e-09,0.04724460741854454,203000000000.0,Acier inoxydable
10,0.19932554794906243,2700,0.012989077011189256,0.0005300373281689068,2.2356460578316307e-08,0.019932554794906243,69000000000.0,Aluminium
10,0.8406451769178,2700,0.018296881768987305,0.0010517294529614515,8.802341393326808e-08,0.08406451769178,69000000000.0,Aluminium
10,0.6538285670383854,8900,0.06448133704719627,0.013062248481322402,1.3577694039426543e-05,0.06538285670383855,124000000000.0,Cuivre
10,0.6092588290743391,2400,0.012960676361941436,0.0005277220062904271,2.2161571106694218e-08,0.06092588290743391,30000000000.0,Beton
10,0.5914266726441927,2400,0.043036414930186284,0.005818647457822745,2.694227257609307e-06,0.05914266726441927,30000000000.0,Beton
10,0.3489191845074907,8900,0.016535547228442634,0.000858987841760538,5.8717042090840375e-08,0.03489191845074907,124000000000.0,Cuivre
10,0.7084430257193252,7800,0.025190614056226086,0.001993551140172062,3.162604597973651e-07,0.07084430257193251,203000000000.0,Acier inoxydable
10,0.7691774580815816,2400,0.04142039069261788,0.00538986955667,2.311780762276962e-06,0.07691774580815816,30000000000.0,Beton
10,0.391157798992959,2400,0.016423008611303025,0.0008473353280997404,5.713480688095306e-08,0.0391157798992959,30000000000.0,Beton
