NbElts,L_tot,rho,h,b,S,I,L,E
10,0.2881603303008664,2700,0.005500049535847857,0.009846485537094649,5.415615820803006e-05,1.3652110794242888e-10,0.02881603303008664,69000000000.0
10,0.1721190361411808,2400,0.008617831752393834,0.010560471397542907,9.100836572999216e-05,5.632433743428898e-10,0.01721190361411808,30000000000.0
10,0.6772840410665618,2400,0.04230720771293128,0.044046286062655676,0.0018634753734359639,2.7795285365067424e-07,0.06772840410665618,30000000000.0
10,0.9578104074435991,4510,0.08089740344377269,0.07815985009978968,0.006322928926627483,3.4483093420267598e-06,0.09578104074435992,114000000000.0
10,0.5307499632685746,2700,0.006690380279993287,0.0064493650139830615,4.314870450803091e-05,1.60948940582781e-10,0.05307499632685746,69000000000.0
10,0.11401165095174268,2400,0.006493608368155342,0.005152384971567314,3.3457570167327335e-05,1.1756697302401946e-10,0.011401165095174267,30000000000.0
10,0.8664256458821633,7850,0.019429735656398994,0.07563051277697475,0.001469480870814526,4.622921031873472e-08,0.08664256458821633,210000000000.0
10,0.18350814320441605,8900,0.015753261747321362,0.004934933391090848,7.774129741545034e-05,1.6077240791642081e-09,0.018350814320441604,124000000000.0
10,0.21426891776204127,2700,0.01562102726838581,0.006997663782699329,0.00010931069676454201,2.2228010719239334e-09,0.021426891776204125,69000000000.0
10,0.40864070002731756,7850,0.02100072223273587,0.037592335175830986,0.0007894661891075325,2.901487810815834e-08,0.040864070002731755,210000000000.0
10,0.6628124941469143,4510,0.04321804320985676,0.05936286366423087,0.0025655468069015657,3.993272020479919e-07,0.06628124941469143,114000000000.0
10,0.7683857294741915,2400,0.05144982715563327,0.06633723467631415,0.0034130392580790448,7.528836707932386e-07,0.07683857294741915,30000000000.0
10,0.6314435073884396,7850,0.03217886108099189,0.04430104758711789,0.0014255572560482777,1.2301122876341922e-07,0.06314435073884396,210000000000.0
10,0.47364318023993013,7800,0.03880356676159167,0.017684019102982527,0.0006862030158758449,8.610228372505032e-08,0.04736431802399301,203000000000.0
10,0.5774916319866144,2400,0.04697784611214076,0.054205051893732724,0.00254643658636438,4.683147335685473e-07,0.057749163198661434,30000000000.0
10,0.8171333601189882,2400,0.021725040018066473,0.048957515943248486,0.0010636039930522008,4.183308406280566e-08,0.08171333601189881,30000000000.0
10,0.19583709810725708,7850,0.01094350644134152,0.007192212628016946,7.870802522220126e-05,7.8550827738488e-10,0.019583709810725707,210000000000.0
10,0.4430409733855757,7850,0.016832903093101502,0.010934413516548381,0.0001840579231039581,4.3460159666488865e-09,0.04430409733855757,210000000000.0
10,0.9908826179636622,7850,0.0748007315483148,0.08253539856331767,0.006173708191167892,2.8785683274619263e-06,0.09908826179636622,210000000000.0
10,0.23925004357971752,7850,0.012810046117087706,0.006766779781876895,8.668276107001972e-05,1.1853671205336514e-09,0.023925004357971753,210000000000.0
10,0.15257067848443212,2400,0.006919849899883013,0.01019923500243199,7.057717531046233e-05,2.8162835278066697e-10,0.015257067848443212,30000000000.0
10,0.3717847842890314,7800,0.015538718315637703,0.018261064775962673,0.00028375354169729773,5.709399500406982e-09,0.037178478428903136,203000000000.0
10,0.54002815999757,7800,0.05346177953820727,0.0467394767171732,0.002498775599984685,5.951587620867159e-07,0.054002815999757,203000000000.0
10,0.31643944417425246,2700,0.01598456621527363,0.02886886053681656,0.00046145621281024415,9.825416324325738e-09,0.03164394441742525,69000000000.0
10,0.4515680704553765,2700,0.020991082703140533,0.01723465090429993,0.00036177398249191564,1.328390509288603e-08,0.04515680704553765,69000000000.0
10,0.5613669413102942,2400,0.04492166862184843,0.04044530005973778,0.001816870366594767,3.055304186616579e-07,0.05613669413102942,30000000000.0
10,0.9602382225477738,2500,0.035135385703477996,0.06941232669593583,0.002438828871037528,2.5089357069876705e-07,0.09602382225477737,69000000000.0
10,0.2607726934118716,2700,0.012931864427360704,0.018770157067573567,0.00024273312647812772,3.38275145648974e-09,0.02607726934118716,69000000000.0
10,0.41270866560244746,8900,0.008896791852645011,0.039195151216159865,0.0003487111020031203,2.3001247352669107e-09,0.04127086656024474,124000000000.0
10,0.5367694677171324,8900,0.035467410486985415,0.0510673758777031,0.0018112275827476731,1.8986754717110393e-07,0.05367694677171324,124000000000.0
10,0.6444356793672933,2400,0.047881541285912085,0.049756207673671345,0.0023824039119573104,4.5516660498202743e-07,0.06444356793672933,30000000000.0
10,0.9765762529876553,8900,0.02123432217039055,0.06413775256525875,0.0013619217012554971,5.117380366499589e-08,0.09765762529876552,124000000000.0
10,0.6152465097199286,2500,0.011537217797729243,0.0472631088474437,0.0005452847805707419,6.0484530340791814e-09,0.061524650971992854,69000000000.0
10,0.1112230223607971,2500,0.010882485521365289,0.00997770190811445,0.00010858219655155431,1.071602141699312e-09,0.01112230223607971,69000000000.0
10,0.46958234330035065,2400,0.01847601213659783,0.024453615481562364,0.0004518052964210428,1.285246853821873e-08,0.04695823433003506,30000000000.0
10,0.33604482723971996,2500,0.027803621119530216,0.017173891164985834,0.0004774963630993135,3.076036932408523e-08,0.033604482723972,69000000000.0
10,0.503243443919085,7850,0.04073084324081227,0.046049840163125334,0.0018756488209487189,2.593086981927551e-07,0.050324344391908506,210000000000.0
10,0.9022048151968631,2700,0.07772978464974759,0.01669089631949281,0.0012973797765254407,6.532220057587377e-07,0.09022048151968631,69000000000.0
10,0.2534109735631738,8900,0.016127998368016625,0.0029460928836056036,4.751458121881657e-05,1.0299273745300756e-09,0.025341097356317382,124000000000.0
10,0.5609695915400764,7800,0.011888702780086517,0.011136988981146291,0.00013240435186194683,1.559516424987372e-09,0.05609695915400764,203000000000.0
10,0.27483617050187914,2700,0.01610558150800809,0.007406438211399963,0.00011928499429772776,2.5784421275738857e-09,0.027483617050187915,69000000000.0
10,0.241326692150179,4510,0.0038488968797537578,0.015657654380654494,6.026469708996384e-05,7.439680467107067e-11,0.0241326692150179,114000000000.0
10,0.5655690096358217,7850,0.05003050937293647,0.005766027692890519,0.00028847730253377037,6.017280425133912e-08,0.056556900963582166,210000000000.0
10,0.30865611726990827,7850,0.027829386226514763,0.004057015929379347,0.00011290426322582058,7.286791637671394e-09,0.030865611726990826,210000000000.0
