NbElts,L_tot,rho,h,b,S,I,L,E,Mat,nu
10,0.9521260176762448,4510,0.045091452060508255,0.06810264122055859,0.0030708469817908113,5.203138330542422e-07,0.09521260176762449,114000000000.0,Titane,0.3
10,0.24554544121293356,2400,0.0027590932255649086,0.01419169709262598,3.915621530753355e-05,2.4840035466898493e-11,0.024554544121293355,30000000000.0,Beton,0.3
10,0.7410255061535775,2700,0.035649646113635525,0.05615695733724036,0.002001975655891147,2.1202544931079313e-07,0.07410255061535775,69000000000.0,Aluminium,0.3
10,0.7868245056463679,4510,0.043789035503783096,0.023037531059983934,0.0010087912655051424,1.6119472524022494e-07,0.07868245056463678,114000000000.0,Titane,0.3
10,0.8213672981660357,2700,0.06881940623323235,0.010794432629947379,0.0007428664442176073,2.931914746695274e-07,0.08213672981660357,69000000000.0,Aluminium,0.3
10,0.7717179634596614,8900,0.05385244798086288,0.06033009633795702,0.003248923374720277,7.851798077426039e-07,0.07717179634596613,124000000000.0,Cuivre,0.3
10,0.34593793877512163,8900,0.011045831653328486,0.030833417169478506,0.0003405807353509077,3.462865891776254e-09,0.034593793877512165,124000000000.0,Cuivre,0.3
10,0.40550284578766593,4510,0.010291250662681469,0.02851751686974678,0.00029348091438381155,2.5902097287306605e-09,0.040550284578766596,114000000000.0,Titane,0.3
10,0.662815290156503,2400,0.01603861632147528,0.052273744174563846,0.000838398526502783,1.7972275063863672e-08,0.06628152901565029,30000000000.0,Beton,0.3
10,0.9043033680114946,4510,0.055657198975672895,0.0560689906586406,0.0031206429694531045,8.055741659139335e-07,0.09043033680114945,114000000000.0,Titane,0.3
10,0.7580882437410795,2500,0.011524646750523716,0.020720236479194992,0.00023879340601003752,2.6429949231190406e-09,0.07580882437410795,69000000000.0,Verre,0.3
10,0.16106086850784299,2500,0.010051873503075433,0.0016960271256248709,1.7048250124565828e-05,1.4354649466847827e-10,0.0161060868507843,69000000000.0,Verre,0.3
10,0.45544279548900257,7800,0.03297530765104276,0.04063293648670824,0.0013398835814144845,1.2141253629071782e-07,0.04554427954890026,203000000000.0,Acier inoxydable,0.3
